title,product_type,size,size_factor,pathway,tailored,natural_dye,dye_type,gsm,metres_per_unit,fabric_kg_per_unit,E_transport,E_electricity,E_water,E_tailoring,E_total_kg_co2e,avoided_kg_co2e
Capped Sleeve Layered Back Top (Pre-order)',Top,L,1.1,A,Yes,Yes,Huchang-Red,130,1.1,0.1358,0.6767,0.112,0.00056,0.1141,0.9034,0
Capped Sleeve Layered Back Top (Pre-order)',Top,XL,1.2,A,Yes,Yes,Huchang-Red,130,1.2,0.1482,0.7385,0.1223,0.00061,0.1245,0.9859,0
Button Overshirt,Blouse,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Button Overshirt,Blouse,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Button Overshirt,Blouse,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Young Lady's Balloon Dress,Dress,F,1.0,A,Yes,No,Undyed,160,1.8,0.2736,1.3633,0.2257,0,0.2298,1.8188,0
Grandma Jok's Four Treadle Weave Shawl *New*,Shawl,S,0.88,A,No,No,Undyed,100,0.88,0.0836,0.4166,0.069,0,0,0.4856,0
Tank Top (Breeze) (Pre-order)',Tank Top,M,1.0,A,Yes,No,Undyed,100,0.6,0.057,0.2840,0.047,0,0.0479,0.3789,0
Tank Top (Breeze) (Pre-order)',Tank Top,L,1.1,A,Yes,No,Undyed,100,0.66,0.0627,0.3124,0.0517,0,0.0527,0.4168,0
Tank Top (Breeze) (Pre-order)',Tank Top,XL,1.2,A,Yes,No,Undyed,100,0.72,0.0684,0.3408,0.0564,0,0.0575,0.4547,0
Tuck Trousers (Genderless) in White-Ebony,Trousers,S,0.88,A,Yes,Yes,Ebony,160,2.464,0.3745,1.8661,0.3089,0.00155,0.3146,2.4912,0
Tuck Trousers (Genderless) in White-Ebony,Trousers,M,1.0,A,Yes,Yes,Ebony,160,2.8,0.4256,2.1208,0.3511,0.00176,0.3575,2.8312,0
Tuck Trousers (Genderless) in White-Ebony,Trousers,L,1.1,A,Yes,Yes,Ebony,160,3.08,0.4682,2.3330,0.3862,0.00193,0.3933,3.1144,0
Tuck Trousers (Genderless) in White-Ebony,Trousers,XL,1.2,A,Yes,Yes,Ebony,160,3.36,0.5107,2.5448,0.4213,0.00211,0.429,3.3972,0
Men's Relaxed Fit Spread Collar 'Penguin' Longsleeve Shirt,Shirt,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Men's Relaxed Fit Spread Collar 'Penguin' Longsleeve Shirt,Shirt,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Men's Relaxed Fit Spread Collar 'Penguin' Longsleeve Shirt,Shirt,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
